         SKU;Item code;Title;Category;Height  (cm);Width  (cm);Chain length (cm);Chain width;NOK;Total Price USD;Image;Tags;Description;;;
2360;SP043-500;Hjerte-anheng i sõlv;Kjeder og Anheng;2,4;1,6;;;610;3,082458101;3006.jpg|3010.jpg|3013.jpg;anheng,sterling sõlv,hjerte,zirkoner,rosa krystaller;;;;
2361;SP044-600;Blomster-anheng i sõlv;Kjeder og Anheng;2,5;1,8;;;555;2,051396648;2949.jpg|2954.jpg;anheng,sterling sõlv,blomster,zirkoner;;;;
2362;SP048-650;Perleanheng omkranset av zirkoner;Kjeder og Anheng;2,2;1,5;;;610;3,347932961;3211.jpg|3216.jpg;anheng,sterling sõlv,kremfarget,perler,zirkoner;;;;
2363;SP050-800;Sõlv-anheng formet som en blomst;Kjeder og Anheng;;;;;595;3,432402235;3075.jpg;anheng,sterling sõlv,perler,zirkoner,blomster;;;;
2364;SP057-900;Kors-anheng i sõlv med zirkoner;Kjeder og Anheng;3;1,75;;;555;3,231284916;2957.jpg;anheng,sterling sõlv,kors,zirkoner;;;;
2365;SP062-550;Anheng i sõlv med perle;Kjeder og Anheng;2,4;1,2;;;555;2,051396648;3116.jpg|3121.jpg;anheng,sterling sõlv,hjerte,perler,zirkoner;;;;
2366;SP087-800;Delfin-anheng i sõlv;Kjeder og Anheng;3,2;1,4;;;555;2,601117318;2896.jpg|2900.jpg;anheng,sterling sõlv,delfin,ball,zirkoner;;;;
2367;SP135-260;Syklonformet sõlvanheng med zirkon;Kjeder og Anheng;2,1;1,25;;;610;2,138547486;3000.jpg|3004.jpg;anheng,sterling sõlv,zirkoner,syklon;;;;
2368;SP144-280;Pusekatt-anheng i sõlv;Kjeder og Anheng;1,9;1,75;;;555;2,306145251;3145.jpg|3149.jpg;anheng,sterling sõlv,zirkoner,pusekatt,rosa krystaller;;;;
2369;SP146-250;Hjerte-anheng i sõlv med zirkonblomst;Kjeder og Anheng;2;1;;;595;1,573184358;3182.jpg|3184.jpg;anheng,sterling sõlv,blomster,zirkoner;;;;
2370;SP147-300;Sõlvanheng med rubin;Kjeder og Anheng;1,9;1,25;;;610;2,050055866;2995.jpg|2999.jpg;anheng,sterling sõlv,rubin,zirkoner,rund;;;;
2371;SP148-260;Anheng i sõlv med sort krystall;Kjeder og Anheng;2,2;1,1;;;610;1,504357542;3112.jpg|3114.jpg;anheng,sterling sõlv,sorte krystaller,zirkoner;;;;
2372;SP149-380;Solformet sõlvanheng med zirkoner;Kjeder og Anheng;2;1;;;595;2,48849162;2970.jpg|2976.jpg;anheng,sterling sõlv,zirkoner,firkant;;;;
2373;SP166-250;Lõvformet sõlvanheng med zirkon;Kjeder og Anheng;2,5;0,9;;;610;1,725586592;3052.jpg|3055.jpg|3058.jpg;anheng,sterling sõlv,lõv,zirkoner;;;;
2374;SP174-280;Hjerte-anheng i sõlv;Kjeder og Anheng;2;1,5;;;555;1,662569832;2744.jpg|2746.jpg;anheng,sterling sõlv,hjerte ;;;;
2375;SP176-300;Hjerte-anheng i sõlv med sommerfugl;Kjeder og Anheng;;;;;595;1,644692737;3015.jpg|3021.jpg|3023.jpg;anheng,sterling sõlv,hjerte,sommerfugl;;;;
2376;SP178-300;Ringformet sõlvanheng;Kjeder og Anheng;2,5;1,2;;;610;1,592849162;3045.jpg|3049.jpg;anheng,sterling sõlv,ring,zirkoner;;;Lengde varierer mellom 24 - 26 cm.;
2377;SP179-320;Anheng i sõlv med zirkoner;Kjeder og Anheng;2;2;;;595;2,188156425;3130.jpg|3133.jpg;anheng,sterling sõlv,hjerte,zirkoner;;;;
2378;SP182-260;Pusekatt-anheng i sõlv;Kjeder og Anheng;3;1;;;595;1,487374302;3136.jpg|3140.jpg;anheng,sterling sõlv,pusekatt,zirkoner;;;;
2379;SP183-350;Sõlv-anheng med to hjerter;Kjeder og Anheng;2,5;1,75;;;595;2,517094972;2934.jpg|2939.jpg;anheng,sterling sõlv,hjerte,zirkoner;;;;
2380;SP184-260;Kometformet sõlvanheng;Kjeder og Anheng;2,75;0,8;;;610;1,578100559;2985.jpg|2988.jpg;anheng,sterling sõlv,komet,zirkoner;;;;
2381;SP193-420;Knutehjerte-anheng i sõlv;Kjeder og Anheng;2,75;2;;;595;3,289385475;2944.jpg|2945.jpg;anheng,sterling sõlv,zirkoner ;;;;
2382;SP199-350;Sõlvanheng med nõkkel og hjerte;Kjeder og Anheng;3,2;1;;;595;1,902122905;;anheng,sterling sõlv,hjerte,nõkkel,zirkoner;;;;
2383;SP200-350;Sõlvanheng med zirkon;Kjeder og Anheng;3,25;0,6;;;610;2,138547486;3097.jpg|3099.jpg;anheng,sterling sõlv,square,zirkoner;;;;
2384;SP206-450;Kors-anheng i sõlv med stener;Kjeder og Anheng;3;1,6;;;610;2,964469274;2889.jpg|2893.jpg;anheng,sterling sõlv,kors,zirkoner;;;;
2385;SP211-250;DrÜpeformet sõlv-anheng;Kjeder og Anheng;2;0,8;;;610;10,47150838;3038.jpg|3041.jpg|3044.jpg;anheng,sterling sõlv,drÜpe,zirkoner;;;;
2386;SPD306-450;Infinity-anheng i sõlv;Kjeder og Anheng;2,75;0,75;;;695;3,687150838;3080.jpg|3085.jpg;anheng,sterling sõlv,zirkoner,infinity,sorte krystaller;;;;
2387;SPD307-480;Anheng i sõlv med Onyz-sten;Kjeder og Anheng;;;;;695;3,519553073;2965.jpg|2967.jpg;anheng,sterling sõlv,zirkoner,sorte krystaller;;;;
2388;SPD315-480;Sõlvanheng med ametyst og zirkoner;Kjeder og Anheng;2,75;1;;;695;3,351955307;2977.jpg|2981.jpg;anheng,sterling sõlv,ametyst,zirkoner;;;;
2389;SPD330-480;Infinity-anheng i sõlv med zirkoner;Kjeder og Anheng;1,75;1,2;;;695;2,849162011;;anheng,sterling sõlv,infinity,zirkoner;;;;
2390;SPD338-850;Anker-anheng i sõlv;Kjeder og Anheng;2,2;1;;;695;1,675977654;3126.jpg|3127.jpg;anheng,sterling sõlv,anker,zirkoner;;;;
2391;SPD348-380;Infinity-anheng i sõlv;Kjeder og Anheng;;;;;695;3,016759777;3187.jpg|3191.jpg;anheng,sterling sõlv,zirkoner,infinity;;;;
2392;SPD364-1200;Anheng med sõlvsirkler;Kjeder og Anheng;3,5;2,5;;;685;10,91396648;3025.jpg|3029.jpg|3032.jpg;anheng,sterling sõlv,sirkler,zirkoner;;;;
2393;SPD371-550;Dobbelthjerte-anheng i sõlv;Kjeder og Anheng;2,2;2,4;;;695;3,519553073;2737.jpg|2742.jpg;anheng,sterling sõlv,hjerte,zirkoner;;;;
2394;SPD378-850;Mikke-anheng i sõlv;Kjeder og Anheng;3,2;2,2;;;695;9,38547486;3064.jpg|3068.jpg;anheng,sterling sõlv,rund,zirkoner,barn;;;;
2395;SSE316-450;ùredobber i sõlv med zirkoner;ùrepynt;1;1;;;695;3,184357542;3469.jpg|3470.jpg;õrepynt,sterling sõlv,zirkoner,oval;;;;
2396;SSE324-420;Knute-õredobber i sõlv med zirkoner;ùrepynt;1;1;;;695;2,849162011;3475.jpg; Sterling,õredobber,knuter,link,zirkoner ;;;;
2397;SSE333-450;Infinity õredobber i sõlv;ùrepynt;12;6;;;695;3,519553073;3437.jpg|3457.jpg;õrepynt,sterling sõlv,zirkoner,hjerte,infinity;;;;
2398;SSE337-420;ùredobber i sõlv;ùrepynt;1,4;4;;;695;2,681564246;3480.jpg|3482.jpg;õrepynt,sterling sõlv,zirkoner,infinity;;;;
2399;SSE341-420;Lõvformede õredobber i sõlv;ùrepynt;1,75;0,75;;;695;3,184357542;3486.jpg;õrepynt,sterling sõlv,zirkoner,lõv ;;;;
2400;SSE366-480;ùrepynt i sõlv med sorte krystaller;ùrepynt;1;1;;;695;3,854748603;3491.jpg;õrepynt,sterling sõlv,zirkoner,sorte krystaller,hjerte;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
