SKU;kr;Title;Description;Type;Design;Width;Height;Weight (gr);Unit Price;Qty/Stock;Total Purchase;stamp;Plating Material;;;SOURCE URL
2101-54-706-2596;1180;GALLOPING HORSE STERLING SILVER PENDANT;This shiny and well-designed silver horse pendant is crafted of fine sterling silver with high polished finish that can add a little sparkle to your day. The width measures 47mm with a height of 23mm and just the right size to match any casual outfit.;Silver Pendants;Horse;47 mm;23 mm;7,923;US$13.10;2;26,2;pendant;SOLID;;;http://www.925e.com/order-silver-jewelry.php?ProdNum=44205&SubCat=777&IorP=I&ToggleIP=1&ref=search
2102-54-706-3422;460;PONY PORTRAIT OXIDIZED STERLING SILVER HEART PENDANT;Simple yet elegant, this exquisite pony image etched in a heart-shaped solid sterling silver pendant is oxidized and buffed to a silver shine. The antique look complements any sporty attire.;Silver Pendants;Horse;12 mm;24 mm;(2.9) 2.669;US$5.02;4;20,08;pendant;SOLID;;;http://www.925e.com/order-silver-jewelry.php?ProdNum=47922&SubCat=777&IorP=I&ToggleIP=1&ref=search
