SKU,Item code,Name,Category,pa_høyde-(cm),pa_bredde-(cm),pa_kjedelengde-(cm),Price,Total Price USD,Image,Tags,Description,,,
2212,ESS039-400,Sølv-øredobber med zirkoner og krystaller,Ørepynt,1,1,,595,2.946145251,3315.jpg|3320.jpg,"øredobber,sterling sølv,zirkoner,sorte krystaller,blomst",,,,
2213,ESS048-650,Perleøredobber i sølv med zirkoner,Ørepynt,0.8,0.8,,610,3.229944134,3328.jpg|3332.jpg,"øredobber,sterling sølv,zirkoner,kremfarget,perler",,,,
2244,KB0797 ,Armbånd med perler,Armbånd,,,20.5,1140,6.699441341,2373.jpg,"sølvbelagt,armbånd,ferskvannsperler",,,,
2245,KB0800 ,Armbånd med potetformede perler,Armbånd,,,19,1140,6.699441341,2507.jpg,"sølvbelagt,armbånd,ferskvannsperler",,,,
2246,KB0803 ,Armbånd med gråe ferskvannsperler,Armbånd,,,21,1140,6.698324022,2364.jpg,"sølvbelagt,armbånd,ferskvannsperler",,,,
2247,KB0816,Armbånd med gråe og kremfargede perler,Armbånd,,,18,1520,8.932960894,2364.jpg,"sølvbelagt,armbånd,ferskvannsperler",,,,
2248,KB0818,Armbånd med ovale ferskvannsperler,Armbånd,,,19,1140,6.698324022,2500.jpg|2503.jpg,"sølvbelagt,armbånd,ferskvannsperler",,,,
2249,KB0868 ,Armring dekket med perler,Armbånd,,,,1520,8.932960894,2349.jpg,"sølvbelagt,armring,ferskvannsperler",,,,
2250,KB1046 ,Armbånd med ferskvannsperler,Armbånd,,,19,570,3.347486034,2370.jpg,"sølvbelagt,armbånd,ferskvannsperler",,,,
2251,KB1054 ,Armbånd med ferskvannsperler,Armbånd,,,19,760,4.463687151,2461.jpg,"sølvbelagt,armbånd,ferskvannsperler",,,,
2253,KE0831,Ørepynt med 3 hengende ferskvannsperler,Ørepynt,5,5,,570,3.346368715,2494.jpg,"sølvbelagt,ferskvannsperler,ørepynt",,,,
2254,KE0892 ,Store øredobber med abalone skjell,Ørepynt,2.25,2.25,,190,1.117318436,2432.jpg|2434.jpg|2436.jpg,"baller,perlemor,øredobber",,,,
2255,KE0932,Sølvbelagt ørepynt med perleklynge,Ørepynt,4.75,4.75,,760,4.463687151,2443.jpg,"sølvbelagt,ferskvannsperler,ørepynt,krok",,,,
2256,KE0934 ,Ørepynt med ferskvanns tvillingperler,Ørepynt,5.5,5.5,,570,3.346368715,2514.jpg|2520.jpg,"sterling sølv,kabel,ørepynt,ferskvannsperler,krok",,,,
2257,KE0935 ,Ørepynt med ferskvannsperle,Ørepynt,1.75,3,,1900,11.16759777,2621.jpg|2627.jpg,"sterling sølv,krok,ørepynt,avlang,ferskvannsperler",,,,
2258,KE0937,Ørepynt med plummeformede ferskvannsperler,Ørepynt,3,3,,1385,3.346368715,,"sterling sølv,krok,ørepynt,avlang,ferskvannsperler",,,,
2259,KE0939,Ørepynt med myntformede ferskvannsperler,Ørepynt,3,1.25,,760,4.464804469,2448.jpg,"sterling sølv,solid,krok,ørepynt,mynt,ferskvannsperler",,,,
2260,KE0949,Ørepynt med dråpeformede perler,Ørepynt,3.5,1,,760,4.463687151,2616.jpg,"sølvbelagt,solid,krok,øredobber,avlang,ferskvannsperler",,,,
2261,KE0951,Ørepynt med potetformede ferskvannsperler,Ørepynt,2.75,1,,760,4.463687151,2462.jpg|2482.jpg,"sølvbelagt,ørepynt,zirkoner,blomster,kremfarget,avlang,ferskvannsperler ",,,,
2262,KE0952 ,Øredobber med ferskvannsperler,Ørepynt,3,0.5,,760,4.463687151,2449.jpg|2451.jpg|2454.jpg,"sølvbelagt,øredobber,zirkoner,dråpe,kremfarget,avlang,ferskvannsperler ",,,,
2263,KE0955 ,Søte perleøredobber,Ørepynt,0.75,0.75,,380,4.463687151,2399.jpg,"sølvbelagt,øredobber,rund,ferskvannsperler ",,,,
2264,KE0957,Øredobber med ferskvannsperler,Ørepynt,1,1,,760,4.463687151,2609.jpg|2655.jpg,"sølvbelagt,øredobber,rund,ferskvannsperler ",,,,
2265,KE0961,Sjøstjerne-øredobber,Ørepynt,1,1,,760,4.463687151,2522.jpg|2530.jpg,"sølvbelagt,øredobber,rund,ferskvannsperler,stjernefisk",,,,
2266,KE0964 ,Grå ferskvannsperler på sølv-ørepynt,Ørepynt,2,2,,760,4.463687151,2645.jpg|2651.jpg,"sølvbelagt,øredobber,rund,ferskvannsperler,blomster",,,,
2267,KE0972 ,Ørepynt i sølv med kremfarget perle,Ørepynt,2,2,,760,4.463687151,2660.jpg|2664.jpg|2666.jpg,"sølvbelagt,øredobber,rund,ferskvannsperler,blomster",,,,
2268,KE0976 ,Øreringer med to ferskvannsperler,Ørepynt,1,1.5,,760,4.463687151,2538.jpg,"sølvbelagt,øredobber,rund,ferskvannsperler",,,,
2270,KE1205,Øredobber med ferskvannsperle,Ørepynt,1,0.5,,270,15.63687151,2628.jpg|2632.jpg|2634.jpg|2642.jpg,"sølvbelagt,øredobber,rund,ferskvannsperler",,,,
2271,KE1208,Øredobber med cabochon ferskvannsperler,Ørepynt,1.25,1.25,,760,4.463687151,2396.jpg,"sølvbelagt,øredobber,rund,ferskvannsperler",,,,
2272,KN0790 ,Kjede med ferskvannsperler,Kjeder og Anheng,,,47,1520,8.932960894,2393.jpg,"silke,kremfarget,avlang,ferskvannsperler,øye,kjede",,,,
2273,KN0791,Halskjede med ferskvannsperler,Kjeder og Anheng,,,46,2660,15.63687151,2355.jpg|2358.jpg,"silke,kremfarget,grå,ferskvannsperler,kjede",,,,
2274,KN0792,Flott kjede med ferskvannsperler,Kjeder og Anheng,,,45,1900,11.16759777,2485.jpg,"silke,kremfarget,avlang,ferskvannsperler,øye,kjede",,,,
2275,KN0808,Perlehalskjede med ferskvannsperler,Kjeder og Anheng,,,120,610,7.148603352,2476.jpg,"sølvbelagt,kremfarget,avlang,ferskvannsperler,kjede",,,,Sjøstjerne-øredobber med ferskvannsperler
2276,KN0810 ,Eksklusivt operakjede med ferskvannsperler,Kjeder og Anheng,,,112,2710,22.34078212,2420.jpg|2425.jpg,"silke,ferskvannsperler,kjede",,,,
2277,KN0814 ,Perlemor-anheng med ferskvannsperler,Kjeder og Anheng,,,48,760,4.463687151,2542.jpg|2545.jpg,"baroque,ferskvannsperler,nylon,kjede,perlemor",,,,
2279,KN0844 ,Kjede i lær med keshi ferskvannsperler,Kjeder og Anheng,,,45,1900,11.16759777,,"perlemor,perler,keshi,ferskvannsperler,blomster,kjede,abalone,skjell,krystaller",,,,
2281,KN0926,Abalone skjell-anheng med lærkjede,Kjeder og Anheng,,,57,1900,11.16759777,2597.jpg|2605.jpg,"lær,kjede,sølvbelagt,filigran,anheng,perlemor",,,,
2282,KN0928 ,Medaljongkjede i perlemor,Kjeder og Anheng,,,51,1900,11.16759777,2549.jpg,"lær,kjede,sølvbelagt,perlemor,rund,medaljong,ferskvannsperler",,,,
2283,KN0930 ,Kjede med Kasumi ferskvannsperler,Kjeder og Anheng,,,52,1900,11.16759777,2405.jpg,"nylon,belagt,rørformet,kjede,silver,kobber,perlemor,oval,medaljong ,keshi",,,,
2284,KN0991,Kjede med ferskvannsperler,Kjeder og Anheng,,,43.5,1520,13.40223464,2345.jpg,"sølvbelagt,kremfarget,avlang,ferskvannsperler,kjede",,,,
2401,KN0991,Armbånd med ferskvannsperler,Kjeder og Anheng,,,19,760,13.40223464,2345.jpg,"sølvbelagt,kremfarget,avlang,ferskvannsperler,armbånd",,,,
2285,KN1016,Kjede med kasumi ferskvannsperler,Kjeder og Anheng,,,42,1900,11.16759777,2352.jpg|2355.jpg,"sølvbelagt,kremfarget,avlang,ferskvannsperler,kjede,kazumi",,,,
2286,KN1020 ,Kulekjede med ferskvannsperler,Kjeder og Anheng,,,40.5,950,5.581005587,2469.jpg,"sølvbelagt,kremfarget,avlang,ferskvannsperler,kjede",,,,
2287,KN1028,Sølvbelagt kjede med keshi ferskvannsperle,Kjeder og Anheng,,,42,760,4.463687151,2377.jpg|2379.jpg,"sølvbelagt,blomster,anheng,keshi,ferskvannsperler",,,,
2288,KN1086,Kjede med ildkule-perle og zirkon,Kjeder og Anheng,,,42,1710,11.16759777,2571.jpg|2574.jpg,"sølvbelagt,tvunnet kjede,kobber,anheng,ferskvannsperler,kjede",,,,
2289,KN1091,Perlekjede med zirkoner,Kjeder og Anheng,3.5,3.5,42,1710,10.05027933,2577.jpg|2578.jpg,"sølvbelagt,tvunnet kjede,anheng,ferskvannsperler,kjede",,,,
2290,KN1094 ,Slangekjede med ferskvannsperler,Kjeder og Anheng,1,1,41.5,2280,13.40223464,2410.jpg,"sølvbelagt,mesh,kremfarget,oval,ferskvannsperler,kjede",,,,
2291,KN1176,Ferskvanns perlekjede på perlemorplate,Kjeder og Anheng,,,51,1330,7.815642458,2583.jpg|2586.jpg,"lær,kjede,perlemor,ferskvannsperler",,,,
2292,KN1191,Perlemor-anheng med babyperler,Kjeder og Anheng,,,51,950,5.581005587,2563.jpg|2566.jpg|2567.jpg,"lær,kjede,perlemor,ferskvannsperler",,,,
2293,KN1196 ,Perlemor-anheng med orkide,Kjeder og Anheng,,,50,1330,7.815642458,2556.jpg|2560.jpg,"lær,kjede,abalone,skjell,anheng,medaljong",,,,
